Longitude,Latitude,Sample No,Cu,Zn,Pb
73.13,25.00,45H01/176/S/16,17,53,18
73.15,25.00,45H01/177/S/16,16,55,20
73.17,25.00,45H01/178/S/16,24,59,29
73.19,25.00,45H01/179/S/16,17,59,18
73.21,25.00,45H01/180/S/16,38,65,15
73.23,25.00,45H01/181/S/16,37,76,10
73.25,25.00,45H01/182/S/16,28,51,13
73.01038611,24.5097,45H02/001/S/16,30,63,16
73.03008889,24.5097,45H02/002/S/16,20,46,25
73.05010556,24.5097,45H02/003/S/16,22,56,28
73.06996667,24.5097,45H02/004/S/16,22,46,27
73.08961667,24.5097,45H02/005/S/16,26,49,27
73.10910833,24.5097,45H02/006/S/16,13,43,27
73.12886389,24.5097,45H02/007/S/16,19,52,27
73.14856389,24.5097,45H02/008/S/16,54,55,23
73.16831944,24.5097,45H02/009/S/16,28,50,26
73.18791667,24.5097,45H02/010/S/16,23,53,28
73.20766667,24.5097,45H02/011/S/16,16,39,25
73.22747222,24.5097,45H02/012/S/16,17,34,28
73.24716667,24.5097,45H02/013/S/16,11,32,26
73.01038611,24.5272,45H02/014/S/16,23,40,15
73.03008889,24.5272,45H02/015/S/16,25,60,15
73.05010556,24.5272,45H02/016/S/16,25,54,20
73.06996667,24.5272,45H02/017/S/16,19,45,21
73.08961667,24.5272,45H02/018/S/16,17,43,24
73.10910833,24.5272,45H02/019/S/16,16,43,24
73.12886389,24.5272,45H02/020/S/16,13,49,29
73.14856389,24.5272,45H02/021/S/16,33,57,26
73.16831944,24.5272,45H02/022/S/16,23,43,25
73.18791667,24.5272,45H02/023/S/16,23,42,29
73.20766667,24.5272,45H02/024/S/16,20,40,21
73.22747222,24.5272,45H02/025/S/16,18,37,24
73.24716667,24.5272,45H02/026/S/16,25,52,25
73.01038611,24.5451,45H02/027/S/16,31,62,21
73.03008889,24.5451,45H02/028/S/16,32,72,11
73.05010556,24.5451,45H02/029/S/16,36,68,21
73.06996667,24.5451,45H02/030/S/16,17,79,16
73.08961667,24.5451,45H02/031/S/16,33,79,36
73.10910833,24.5451,45H02/032/S/16,17,58,26
73.12886389,24.5451,45H02/033/S/16,24,71,15
73.14856389,24.5451,45H02/034/S/16,21,65,22
73.16831944,24.5451,45H02/035/S/16,16,44,26
73.18791667,24.5451,45H02/036/S/16,30,62,19
73.20766667,24.5451,45H02/037/S/16,30,47,23
73.22747222,24.5451,45H02/038/S/16,27,45,26
73.24716667,24.5451,45H02/039/S/16,19,59,24
73.01038611,24.5632,45H02/040/S/16,22,55,17
73.03008889,24.5632,45H02/041/S/16,42,65,10
73.05010556,24.5632,45H02/042/S/16,40,76,9
73.06996667,24.5632,45H02/043/S/16,36,94,13
73.08961667,24.5632,45H02/044/S/16,22,65,22
73.10910833,24.5632,45H02/045/S/16,28,74,15
73.12886389,24.5632,45H02/046/S/16,30,85,24
73.14856389,24.5632,45H02/047/S/16,31,54,26
73.16831944,24.5632,45H02/048/S/16,36,68,29
73.18791667,24.5632,45H02/049/S/16,31,60,22
73.20766667,24.5632,45H02/050/S/16,22,57,31
73.22747222,24.5632,45H02/051/S/16,33,73,23
73.24716667,24.5632,45H02/052/S/16,29,65,23
73.01038611,24.58131389,45H02/053/S/16,28,77,35
73.03008889,24.58131389,45H02/054/S/16,31,52,24
73.05010556,24.58131389,45H02/055/S/16,27,81,18
73.06996667,24.58131389,45H02/056/S/17,40,96,14
73.08961667,24.58131389,45H02/057/S/17,34,78,21
73.10910833,24.58131389,45H02/058/S/17,27,74,27
73.12886389,24.58131389,45H02/059/S/17,26,67,22
73.14856389,24.58131389,45H02/060/S/16,29,60,23
73.16831944,24.58131389,45H02/061/S/16,37,70,24
73.18791667,24.58131389,45H02/062/S/16,29,54,25
73.20766667,24.58131389,45H02/063/S/16,24,53,27
73.22747222,24.58131389,45H02/064/S/16,27,57,26
73.24716667,24.58131389,45H02/065/S/16,24,51,33
73.01038611,24.59943333,45H02/066/S/16,38,82,34
73.03008889,24.59943333,45H02/067/S/16,23,46,22
73.05010556,24.59943333,45H02/068/S/16,22,46,18
73.06996667,24.59943333,45H02/069/S/16,25,49,15
73.08961667,24.59943333,45H02/070/S/16,28,86,14
73.10910833,24.59943333,45H02/071/S/17,30,62,22
73.12886389,24.59943333,45H02/072/S/17,31,65,19
73.14856389,24.59943333,45H02/073/S/16,28,73,24
73.16831944,24.59943333,45H02/074/S/16,21,62,24
73.18791667,24.59943333,45H02/075/S/16,29,59,24
73.20766667,24.59943333,45H02/076/S/16,23,59,28
73.22747222,24.59943333,45H02/077/S/16,30,59,26
73.24716667,24.59943333,45H02/078/S/16,21,46,29
73.01038611,24.61755278,45H02/079/S/16,26,69,25
73.03008889,24.61755278,45H02/080/S/16,42,50,16
