Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2016S001059    ,7,Horta-Guinardó,37,el Carmel,348204,Turó de la Rovira,0015 0015,Dimecres,Dc,Laboral,2016,2,Febrer,10,9,Matí,No és causa del  vianant,0,3,0,3,3,429986.37,4585892.38,2.161047,41.41969
2016S003441    ,7,Horta-Guinardó,37,el Carmel,320307,Santuari,0118 0118,Dijous,Dj,Laboral,2016,5,Maig,5,11,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,429669.2,4585747.15,2.157271,41.418357
2016S007287    ,7,Horta-Guinardó,37,el Carmel,67001,Carmel,0102 0102,Diumenge,Dg,Laboral,2016,9,Setembre,25,0,Nit,No és causa del  vianant,0,1,0,1,2,429714.15,4585691.51,2.157816,41.417856
2016S000119    ,7,Horta-Guinardó,37,el Carmel,85900,Conca de Tremp,0050 0050,Dijous,Dj,Laboral,2016,1,Gener,7,7,Matí,No és causa del  vianant,0,0,0,0,1,429628.79,4586153.72,2.156733,41.42201
2016S001470    ,7,Horta-Guinardó,37,el Carmel,67103,Carmel,0004 0004,Dijous,Dj,Laboral,2016,2,Febrer,25,2,Nit,No és causa del  vianant,0,1,0,1,1,429672.87,4586715.5,2.157194,41.427075
2016S005802    ,7,Horta-Guinardó,37,el Carmel,185700,Llobregós,0076 0076,Dissabte,Ds,Laboral,2016,7,Juliol,23,12,Matí,No és causa del  vianant,0,1,0,1,2,429742.1,4586533.97,2.158053,41.425442
2016S001285    ,7,Horta-Guinardó,37,el Carmel,185700,Llobregós,0076 0076,Dijous,Dj,Laboral,2016,2,Febrer,18,19,Tarda,No és causa del  vianant,0,1,0,1,2,429742.1,4586533.97,2.158053,41.425442
2016S009638    ,7,Horta-Guinardó,37,el Carmel,185700,Llobregós,0148 0150,Dijous,Dj,Laboral,2016,12,Desembre,15,15,Tarda,No és causa del  vianant,0,1,0,1,2,429452.9,4586330.75,2.154607,41.423589
2016S008779    ,7,Horta-Guinardó,37,el Carmel,3600,Agudells,0037 0045,Dimarts,Dm,Laboral,2016,11,Novembre,15,15,Tarda,No és causa del  vianant,0,1,0,1,1,429769.49,4586336.72,2.158399,41.42367
2016S004682    ,7,Horta-Guinardó,37,el Carmel,3600,Agudells,0037 0045,Dijous,Dj,Laboral,2016,6,Juny,16,9,Matí,No és causa del  vianant,0,2,0,2,1,429769.49,4586336.72,2.158399,41.42367
